index,title,original_language,release_date,popularity,vote_average,vote_count,overview,
9571,Curly Sue,en,24/10/1991,12.931,6.4,485,"Bill Dancer and his young companion Curly Sue are the classic homeless folks with hearts of gold. Their scams are aimed not at turning a profit, but at getting enough to eat. When they scam the rich and beautiful Grey Ellison into believing she backed her Mercedes into Bill, they're only hoping for a free meal. But Grey is touched, and over the objections of her snotty fiancÃ©.",
9572,"Men, Women & Children",en,17/10/2014,12.93,6.5,826,"Follows the story of a group of high school teenagers and their parents as they attempt to navigate the many ways the internet has changed their relationships, their communication, their self-image, and their love lives.",
9573,My Favorite Martian,en,11/02/1999,12.93,5.6,268,"News producer, Tim O'Hara gets himself fired for unwillingly compromising his bosses' daughter during a live transmission. A little later, he witnesses the crashing of a small Martian spacecraft, realizing his one-time chance of delivering a story that will rock the earth. Since Tim took the original but scaled-down spaceship with him, the Martian follows him to retrieve it.",
9574,The 51st State,en,07/12/2001,12.93,6.1,532,An American master chemist plans to score big on a once in a lifetime drug deal. All does not go as planned and he is soon entangled in a web of deceit.,
9575,American Badger,en,06/03/2021,12.928,5.9,37,"A seemingly cold-blooded hitman is assigned to befriend a call girl, but all hell breaks loose when he is assigned to kill her.",
9576,In This Corner of the World,ja,12/11/2016,12.928,8,503,"Japan, 1943, during World War II. Young Suzu leaves her village near Hiroshima to marry and live with her in-laws in Kure, a military harbor. Her creativity to overcome deprivation quickly makes her indispensable at home. Inhabited by an ancestral wisdom, Suzu impregnates the simple gestures of everyday life with poetry and beauty. The many hardships, the loss of loved ones, the frequent air raids of the enemy, nothing alters her enthusiasmâ€?",
9577,Blame It on Rio,en,17/02/1984,12.928,5.7,143,"Matthew Hollis is man on holiday in Rio with his best friend. Both men have teenage daughters with them. When Matthew falls for his best friend's amorous daughter named Jennifer, they embark on a secret, if slightly one-sided relationship. Jennifer's father is furious when he finds out about the 'older man' in his daughter's life, and sets out to hunt him down with the aid of Matthew!",
9578,Marvel Rising: Secret Warriors,en,30/09/2018,12.927,6.8,92,"When a threat no one could have expected bears down on the Marvel Universe, this ragtag, untrained band of teens have no choice but to rise together and prove to the world that sometimes the difference between a 'hero' and 'misfit' is just in the name.",
9579,Death Race 2000,en,30/04/1975,12.927,6,408,"In a boorish future, the government sponsors a popular, but bloody, cross-country race in which points are scored by mowing down pedestrians. Five teams, each comprised of a male and female, compete using cars equipped with deadly weapons. Frankenstein, the mysterious returning champion, has become America's hero, but this time he has a passenger from the underground resistance.",
9580,Virus,en,14/01/1999,12.926,5.4,524,"When the crew of an American tugboat boards an abandoned Russian research vessel, the alien life form aboard regards them as a virus which must be destroyed.",
9581,Reality Bites,en,18/02/1994,12.926,6.6,642,"A small circle of friends suffering from post-collegiate blues must confront the hard truth about life, love and the pursuit of gainful employment. As they struggle to map out survival guides for the future, the Gen-X quartet soon begins to realize that reality isn't all it's cracked up to be.",
9582,Wedding Unplanned,fr,26/04/2017,12.925,6.1,440,"When she discovers a wedding planer's business card, Alexia instantly says, ""YES"" to Mathias unaware that it belongs to his mistress. The groom is now trapped between his bride, and his lover who in charge of his unwanted marriage.",
9583,Band Aid,en,02/06/2017,12.924,6.4,138,A couple who can't stop fighting embark on a last-ditch effort to save their marriage: turning their fights into songs and starting a band.,
9584,Vicini di casa,it,01/12/2022,12.923,5.5,74,"A couple receives an indecent proposal from their younger, more daring neighbors.",
9585,Cook Up a Storm,cn,10/02/2017,12.923,7.5,144,"An international culinary competition becomes a battleground between rival cooks, one famous for his Cantonese street food and the other a Michelin-starred chef trained in France. But their rivalry takes an unexpected turn when they discover a common foe and combine their skills in a fusion of East and West.",
9586,Serial Mom,en,13/04/1994,12.923,6.8,592,"She's the perfect all-American parent: a great cook and homemaker, a devoted recycler, and a woman who'll literally kill to keep her family happy.",
9587,League of Gods,zh,28/07/2016,12.922,5.4,107,"During the reign of King Zhou, an official enters his bedchamber, and is devoured by the monstrous tails of Daji, his concubine. Outside their city, several warriors within a metal wagon discuss their strategies to free the Invisible People and their Chief, when Jiang Ziya appears to them. He tells them that when King Zhou was younger, he let himself become possessed by the Black Dragon for his quest for power.",
9588,So Undercover,en,06/12/2012,12.922,6.2,1071,"When the FBI hires her to go undercover at a college sorority, Molly Morris (Miley Cyrus) must transform herself from a tough, streetwise private investigator to a refined, sophisticated university girl to help protect the daughter of a one-time Mobster. With several suspects on her list, Molly unexpectedly discovers that not everyone is who they appear to be, including herself.",
9589,The Presidio,en,10/06/1988,12.922,5.8,286,Jay Austin is now a civilian police detective. Colonel Caldwell was his commanding officer years before when he left the military police over a disagreement over the handling of a drunk driver. Now a series of murders that cross jurisdictions force them to work together again. That Austin is now dating Caldwell's daughter is not helping their relationship.,
9590,Porky's Revenge,en,22/03/1985,12.921,5.4,203,"As graduation nears for the class of 1955 at Angel Beach High, the gang once again faces off against their old enemy, Porky, who wants them to throw the school's championship basketball game since he has bet on the opposing team.",
9591,Happiness,en,16/10/1998,12.921,7.5,702,"The lives of many individuals connected by the desire for happiness, often from sources usually considered dark or evil.",
9592,Blow Out,en,24/07/1981,12.92,7.3,1224,"Jack Terry is a master sound recordist who works on grade-B horror movies. Late one evening, he is recording sounds for use in his movies when he hears something unexpected through his sound equipment and records it. Curiosity gets the better of him when the media become involved, and he begins to unravel the pieces of a nefarious conspiracy. As he struggles to survive against his shadowy enemies and expose the truth, he does not know whom he can trust.",
9593,Ordinary People,en,19/09/1980,12.919,7.4,548,"Beth, Calvin, and their son Conrad are living in the aftermath of the death of the other son. Conrad is overcome by grief and misplaced guilt to the extent of a suicide attempt. He is in therapy. Beth had always preferred his brother and is having difficulty being supportive to Conrad. Calvin is trapped between the two trying to hold the family together.",
9594,Dan in Real Life,en,26/10/2007,12.919,6.5,1079,"Advice columnist, Dan Burns is an expert on relationships, but somehow struggles to succeed as a brother, a son and a single parent to three precocious daughters. Things get even more complicated when Dan finds out that the woman he falls in love with is actually his brother's new girlfriend.",
9595,Crazy in Alabama,en,22/10/1999,12.917,6,86,An abused wife heads to California to become a movie star while her nephew back in Alabama has to deal with a racially-motivated murder involving a corrupt sheriff.,
9596,Breaker Morant,en,11/06/1980,12.917,7.1,123,"During the Boer War, three Australian lieutenants are on trial for shooting Boer prisoners. Though they acted under orders, they are being used as scapegoats by the General Staff, who hopes to distance themselves from the irregular practices of the war. The trial does not progress as smoothly as expected by the General Staff, as the defence puts up a strong fight in the courtroom.",
9597,Premature,en,02/07/2014,14.441,5.5,418,"On the most important day of his young life, a high school senior is forced to relive his failed attempt at losing his virginity over and over again, until he gets it right.",
